Date,Open,High,Low,Close,Volume
2020-11-03,22450,22860,22360,22830,2562890
2020-11-04,22910,23050,22700,22910,1369690
2020-11-05,22780,23090,22500,22500,1305860
2020-11-06,22660,22830,22540,22660,987260
2020-11-09,22830,23090,22780,23090,2011650
2020-11-10,23360,23360,22910,22910,1739340
2020-11-11,23090,23090,22780,22910,1668230
2020-11-12,22910,23130,22860,23130,1234540
2020-11-13,23260,23260,23130,23260,1318170
2020-11-16,23360,23530,22910,23050,3713690
2020-11-17,23180,23400,22910,23360,2515530
2020-11-18,23490,23490,23220,23360,1757160
2020-11-19,23490,24220,23360,23830,4980430
2020-11-20,23830,24180,23790,23860,1837360
2020-11-23,23860,24310,23610,24180,2824640
2020-11-24,24180,24440,23790,24050,3003940
2020-11-25,24340,24340,23860,23860,1835630
2020-11-26,24000,24220,23700,24090,1635130
2020-11-27,24180,24310,24050,24310,1986420
2020-11-30,24510,24510,23960,23960,2761700
2020-12-01,23790,23960,23700,23860,3427370
2020-12-02,23790,24090,23790,24050,2108200
2020-12-03,24000,24090,23830,24050,1627980
2020-12-04,23960,24180,23960,24090,1380920
2020-12-07,24180,24220,24000,24090,1455180
2020-12-08,24090,24480,24000,24310,2297110
2020-12-09,24340,24990,24310,24860,3001820
2020-12-10,24640,24950,24440,24440,2112490
2020-12-11,24480,24640,24340,24640,1750270
2020-12-14,24640,25090,24610,24720,1443760
2020-12-15,24860,24910,24480,24510,2666900
2020-12-16,24720,24860,24640,24690,1995530
2020-12-17,24610,24690,24220,24440,3594500
2020-12-18,24440,24690,24440,24610,1532820
2020-12-21,24770,24990,24690,24860,2307390
2020-12-22,24820,25310,24690,25130,2576390
2020-12-23,25220,25350,24720,24860,1391420
2020-12-24,24860,24990,24390,24640,2386210
2020-12-25,24640,24910,24480,24910,1625110
2020-12-28,25040,25350,24860,25040,2197090
2020-12-29,25040,25430,24910,25350,2172950
2020-12-30,25470,25470,25130,25130,1204180
2020-12-31,25130,25600,25090,25560,2036370
2021-01-04,25770,26030,25640,26030,2151300
2021-01-05,25950,27470,25860,27120,2332200
2021-01-06,27290,27510,26950,26990,1796000
2021-01-07,27080,27210,26750,27020,2150200
2021-01-08,27240,27540,27080,27390,2720400
2021-01-11,27630,27980,27390,27980,1972800
2021-01-12,28100,28540,27670,28460,2435200
2021-01-13,28490,29140,28490,28750,2612000
2021-01-14,28750,28980,28410,28710,1777500
2021-01-15,28980,28980,28710,28800,1540400
2021-01-18,28980,28980,28630,28670,1209000
2021-01-19,28540,28590,26670,26800,3505600
2021-01-20,27120,27540,26030,27390,3663800
2021-01-21,27880,28460,27390,28360,2313100
2021-01-22,28410,29190,28280,28930,2090300
2021-01-25,28890,29490,28630,28980,3111900
2021-01-26,29190,29190,28330,28540,2597500
2021-01-27,28410,28590,27210,27240,2226800
2021-01-28,25950,26950,25350,25350,5092400
2021-01-29,25510,27120,25510,27120,3211900
2021-02-01,27840,28280,26950,27470,2017400
2021-02-02,27290,28540,27240,28540,3264600
2021-02-03,29190,30520,28590,30270,4173500
2021-02-04,30340,31650,30340,31350,4398700
2021-02-05,31570,31740,31050,31530,2084900
2021-02-08,31530,31530,30100,30830,4035600
2021-02-09,30880,32259,30270,32259,4224300
2021-02-17,32990,34150,32830,33680,3139100
2021-02-18,33720,33860,33130,33820,2243100
2021-02-19,33430,33720,32870,33130,3722700
2021-02-22,33130,33520,32900,33210,2319300
2021-02-23,32990,33300,32259,32659,3369500
2021-02-24,32870,33090,32390,32610,2225200
2021-02-25,32900,32990,32229,32950,1927500
2021-02-26,32430,33030,32390,32950,1936000
2021-03-01,33210,33720,33210,33680,2078100
2021-03-02,34110,34110,33250,33680,1821700
2021-03-03,33720,33770,33480,33610,1599400
2021-03-04,33610,33640,32479,32830,2901500
2021-03-05,32659,32870,32229,32830,2507500
2021-03-08,32870,33090,32610,32780,1656600
2021-03-09,32430,32740,32229,32430,2182400
2021-03-10,32830,33520,32430,32990,2602400
2021-03-11,33090,33350,32900,33160,1477800
2021-03-12,33300,33350,32990,33090,2062800
2021-03-15,33130,33520,32900,33090,1760900
2021-03-16,33300,35240,33130,35020,5111000
2021-03-17,35240,35240,34600,34940,1603200
2021-03-18,35020,35020,34600,35020,1807500
2021-03-19,34600,34810,34340,34510,2247800
2021-03-22,34380,34430,33860,34030,2084800
2021-03-23,33950,34600,33860,34080,2201700
2021-03-24,33680,34110,33090,33300,2480100
2021-03-25,33520,33520,33090,33130,2305400
2021-03-26,32950,33210,32229,32900,2672600
2021-03-29,33090,33770,32900,33560,1997700
2021-03-30,33680,33720,33300,33350,1512500
2021-03-31,33350,33770,33130,33610,1373400
2021-04-01,33680,34470,33680,34470,2500900
2021-04-02,34770,34810,34510,34510,1950200
2021-04-05,34770,34810,34110,34430,1487000
2021-04-06,34200,34600,34200,34340,1505800
2021-04-07,34250,34470,34200,34430,1503800
2021-04-08,34700,34850,34380,34430,1609800
2021-04-09,34550,35900,34550,35500,3970400
2021-04-12,35630,35630,35240,35500,2022500
2021-04-13,35460,35550,34810,34900,2038100
2021-04-14,34600,35020,34380,35020,2530600
2021-04-15,35020,35200,34510,34600,2096200
2021-04-16,34510,35110,34080,34470,2194600
2021-04-19,34600,35240,34380,35240,2380800
2021-04-20,35370,36720,35280,35860,4742800
2021-04-22,35460,36280,34600,34600,2271200
2021-04-23,34600,35900,34470,35900,3166400
2021-04-26,35670,35800,34810,35020,2551300
2021-04-27,34770,35200,34650,34900,1287100
2021-04-28,34650,35150,34650,34940,1366700
2021-04-29,34940,35370,34940,34990,2095500
2021-05-04,34600,36100,34600,35860,2362100
2021-05-05,36550,36550,35760,35860,2321300
2021-05-06,35900,36100,35550,35760,1969000
2021-05-07,35760,36320,35590,35900,2705900
2021-05-10,35940,37190,35900,37110,4504300
2021-05-11,37190,37440,36850,36850,2078700
2021-05-12,36750,36930,36460,36930,1844500
2021-05-13,36750,36930,36320,36320,2558300
2021-05-14,36460,37270,36370,36670,1858700
2021-05-17,37110,37440,36850,37060,1744500
2021-05-18,37360,37790,37270,37630,2133500
2021-05-19,37840,39390,37540,39260,2876300
2021-05-20,39260,41290,39090,41290,3523900
2021-05-21,40790,41780,40220,40560,3222700
2021-05-24,40560,40610,39820,40430,2669500
2021-05-25,40430,41160,40130,40560,2156300
2021-05-26,40750,41290,40520,41200,1992800
2021-05-27,41200,41250,40430,40560,1745800
2021-05-28,40660,41070,40520,40980,1874300
2021-05-31,41290,42380,40950,42330,3237700
2021-06-01,44140,44450,43690,43740,3495000
2021-06-02,43740,43940,42700,42930,3053900
2021-06-03,42700,42880,42330,42780,3190800
2021-06-04,42700,42750,42090,42530,3820600
2021-06-07,42480,42530,40680,41540,3711200
2021-06-08,41180,41690,40480,40590,3486000
2021-06-09,40480,41230,39690,41010,3576100
2021-06-10,41010,41440,40680,41130,2214900
2021-06-11,40930,42130,40840,41930,2359600
2021-06-14,41930,42480,41690,42090,2547600
2021-06-15,42090,42440,41780,41780,1778700
2021-06-16,41780,42480,41540,41740,2462000
2021-06-17,41230,41740,41230,41480,2236400
2021-06-18,41740,42280,41540,42090,1681700
2021-06-21,41990,43340,41780,42980,3878300
2021-06-22,43240,43500,42880,42880,1760300
2021-06-23,42840,42980,42230,42650,1599900
2021-06-24,42330,42650,42130,42530,1657800
2021-06-25,42530,42880,42280,42780,1503400
2021-06-28,43240,43240,42880,43040,1858800
2021-06-29,43500,44700,43340,44510,4897800
2021-06-30,44700,44730,44190,44190,1651100
2021-07-01,44240,44660,44190,44660,1700100
2021-07-02,44830,46460,44660,46150,3873500
2021-07-05,47710,47710,45700,46560,2934200
2021-07-06,46460,46710,43690,43690,1967400
2021-07-07,43690,45700,42700,45450,4910200
2021-07-08,45400,45450,44700,45100,2375400
2021-07-09,44990,46200,44620,45050,2947000
2021-07-12,44620,45050,41990,43240,6764400
2021-07-13,43640,43840,42700,43690,2207400
2021-07-14,43990,43990,42530,42780,2433500
2021-07-15,42530,43500,42530,42880,2714600
2021-07-16,43140,44190,42930,43590,2285700
2021-07-19,42780,43390,42440,42530,3288800
2021-07-20,42590,43590,42130,43590,2553700
2021-07-21,43590,44140,43240,43500,3368900
2021-07-22,43290,44990,43290,44890,4445600
2021-07-23,44890,46650,44570,45450,6693400
2021-07-26,45360,47150,45300,47060,5772500
2021-07-27,47410,47670,46460,46800,5007000
2021-07-28,46610,47060,46040,46200,3346700
2021-07-29,46200,47150,46040,46910,3712900
2021-07-30,46950,47610,46610,47210,4525900
2021-08-02,47210,48510,47210,48000,4228500
2021-08-03,48110,48220,47560,48110,3607200
2021-08-04,48170,48320,47670,48000,2818400
2021-08-05,47810,48720,47670,48510,2485600
2021-08-06,48600,48800,48110,48510,3413900
2021-08-09,48720,49070,48170,48960,2934500
2021-08-10,49380,49430,49010,49120,2680700
2021-08-11,49070,49120,48270,48270,4883200
2021-08-12,48110,48220,46910,47100,8399400
2021-08-13,46760,47710,46710,47710,3618700
2021-08-16,48220,48330,47900,48010,1906800
2021-08-17,47760,48010,47460,47610,2801700
2021-08-18,47610,48170,47610,47710,1951000
2021-08-19,48220,48220,47610,47950,2721600
2021-08-20,47950,48060,46240,47090,4349300
2021-08-23,46940,46940,46180,46180,3436600
2021-08-24,46450,46690,45640,46640,3081500
2021-08-25,46890,46890,46180,46640,1344000
2021-08-26,46690,47140,46290,46390,1758700
2021-08-27,46180,46690,45980,46690,1896200
2021-08-30,47210,47210,46740,46780,1494800
2021-08-31,46840,47310,46690,46890,1952500
2021-09-01,46740,47210,46740,46890,1353300
2021-09-06,46890,48170,46840,48170,3124600
2021-09-07,48380,48380,47460,47460,2290600
2021-09-08,47460,47810,47090,47250,1453800
2021-09-09,47250,47670,47090,47310,1393700
2021-09-10,47410,47900,47410,47460,1440100
2021-09-13,47510,47710,47140,47210,1600000
2021-09-14,47350,48060,47210,47610,2523200
2021-09-15,47610,47900,47350,47760,1690100
2021-09-16,47900,48220,47810,48060,1924700
2021-09-17,48470,49240,48420,48560,3325700
2021-09-20,48720,48820,47760,47900,2526100
2021-09-21,47410,47710,46940,47460,2697100
2021-09-22,47310,47410,47050,47310,2027200
2021-09-23,47310,47610,47210,47250,1394200
2021-09-24,47310,47310,47050,47050,1449000
2021-09-27,47140,47460,46740,46740,1546100
2021-09-28,46550,47210,46450,47210,1393500
2021-09-29,47210,47410,46840,47310,1177400
2021-09-30,47460,47670,47210,47210,996900
2021-10-01,47140,47250,46940,47140,1055400
2021-10-04,47210,48330,46890,48010,2277800
2021-10-05,48220,48720,47900,47900,1392800
2021-10-06,47950,48060,47560,47900,1571100
2021-10-07,48170,48220,47760,47860,1497000
2021-10-08,48220,50500,47900,50200,8305600
2021-10-11,50250,50410,49880,50370,2295500
2021-10-12,50370,50370,49990,50250,1125300
2021-10-13,50250,51520,49990,50450,3232500
2021-10-14,50450,50760,49930,50150,1824200
2021-10-15,50450,50800,49930,50200,1702500
2021-10-18,50250,50760,50040,50250,2264100
2021-10-19,50250,50500,50040,50040,1534300
2021-10-20,50100,50500,49030,49520,2248600
2021-10-21,49930,49990,49080,49080,2283600
2021-10-22,49240,49450,48780,48820,2023200
2021-10-25,48820,48820,48170,48170,2938500
2021-10-26,48220,49190,47860,49190,1855700
2021-10-27,49120,49830,48980,49830,2326700
2021-10-28,49830,49930,49340,49740,1644700
2021-10-29,49740,49740,49190,49190,2382700
2021-11-01,49450,49450,48520,48620,2855800
2021-11-02,48470,49240,48470,48780,2109100
2021-11-03,48820,49080,48330,48780,2680100
2021-11-04,48780,49120,48560,48720,1761300
