Date,Open,High,Low,Close,Volume
2020-09-10,40440,41110,40220,40220,421160
2020-09-11,40000,41020,39950,40480,411350
2020-09-14,40570,41600,40530,41370,608930
2020-09-15,41420,42220,41420,42220,983560
2020-09-16,42170,42440,41370,42440,544300
2020-09-17,41370,42440,41330,41770,833870
2020-09-18,42220,42400,41550,41770,1089310
2020-09-21,41770,42660,41770,42660,571860
2020-09-22,42660,42750,42040,42040,505230
2020-09-23,42220,42530,42000,42000,111830
2020-09-24,41680,42440,41330,41330,388940
2020-09-25,42000,42130,41240,41240,412210
2020-09-28,41330,41860,41240,41240,202840
2020-09-29,41770,41770,40660,40660,394490
2020-09-30,40660,41510,40660,40660,417360
2020-10-01,40840,41510,40840,41110,212510
2020-10-02,41110,41770,40880,41770,400770
2020-10-05,41770,41770,40880,41460,90450
2020-10-06,41460,41460,40800,40800,521190
2020-10-07,40660,41550,40440,41110,381520
2020-10-08,40880,41280,40660,41020,216990
2020-10-09,41020,41640,41020,41600,309580
2020-10-12,41600,41770,41110,41730,326290
2020-10-13,41730,41820,41510,41820,271990
2020-10-14,41820,42220,41770,42220,389260
2020-10-15,42260,43330,40440,43330,1358580
2020-10-16,43600,43600,43060,43370,596590
2020-10-19,43460,43510,43280,43420,370590
2020-10-20,43280,43510,42570,43460,511250
2020-10-21,43460,43510,42970,43240,172010
2020-10-22,43110,44480,43020,44480,621610
2020-10-23,44530,46620,44440,46220,1761080
2020-10-26,48440,48660,46620,46710,974720
2020-10-27,47550,47590,46220,46970,804020
2020-10-28,46970,47550,43910,44530,1184890
2020-10-29,44530,45770,44440,44750,1327780
2020-10-30,45110,47330,44750,47330,972400
2020-11-02,47330,47550,46660,47330,691110
2020-11-03,47550,47550,46390,46390,751070
2020-11-04,46350,46390,45770,45990,495340
2020-11-05,46310,47510,46220,46440,789860
2020-11-06,47110,47110,46440,46710,592830
2020-11-09,46710,47190,46530,47150,803680
2020-11-10,47330,47640,46930,46930,781980
2020-11-11,46930,47110,45770,47020,1032780
2020-11-12,47020,47460,46660,47460,682660
2020-11-13,47460,47990,47150,47730,535350
2020-11-16,47730,48220,44440,45330,1781800
2020-11-17,45770,47110,45420,47110,862320
2020-11-18,47110,47110,45770,46620,751270
2020-11-19,46570,46570,45770,46220,1192700
2020-11-20,46440,46440,45950,46130,533840
2020-11-23,46220,46710,45820,46130,735650
2020-11-24,46170,46660,45820,46220,812220
2020-11-25,46260,47190,46260,46930,1222490
2020-11-26,46660,47190,46440,47150,545450
2020-11-27,47110,47150,46570,46750,720830
2020-11-30,46750,46880,46130,46170,1596840
2020-12-01,45770,46660,45680,46660,953230
2020-12-02,46620,46880,46310,46660,497910
2020-12-03,46660,47020,46350,47020,731750
2020-12-04,47020,47330,46440,47020,797060
2020-12-07,47110,47110,46710,47020,678660
2020-12-08,47020,47020,46570,46660,747280
2020-12-09,46660,47110,46390,47110,789790
2020-12-10,47110,47550,46620,46620,979550
2020-12-11,46620,47460,46620,47460,569360
2020-12-14,47420,48390,46880,48390,1122380
2020-12-15,48390,48390,47420,47550,1205700
2020-12-16,47460,47590,47060,47550,756200
2020-12-17,47550,47550,46480,46530,1352580
2020-12-18,46530,47150,46440,46530,1350780
2020-12-21,46880,47280,46620,47280,587100
2020-12-22,47110,47770,46790,46970,518320
2020-12-23,46970,47550,46840,46970,701430
2020-12-24,47550,47550,46220,46970,831440
2020-12-25,46970,47280,46660,47060,370300
2020-12-28,47060,47370,46840,47060,711710
2020-12-29,47150,47370,47020,47330,612360
2020-12-30,47420,48710,47420,48220,1528950
2020-12-31,48220,48570,46880,48080,656040
2021-01-04,48220,48440,47330,47990,991100
2021-01-05,47640,48840,47640,48750,1192200
2021-01-06,48880,49110,48390,48970,1283000
2021-01-07,49060,49330,48440,48930,862300
2021-01-08,48930,50080,48930,49680,1348700
2021-01-11,50130,50930,50130,50570,1536700
2021-01-12,51550,51550,50530,50840,981100
2021-01-13,50840,50930,49370,49370,1237900
2021-01-14,49550,49910,48880,49060,1439100
2021-01-15,49510,49860,48790,49420,1238000
2021-01-18,49770,49820,48930,49020,826900
2021-01-19,49020,49020,45590,45640,1367600
2021-01-20,45770,46660,45550,45910,1875500
2021-01-21,46660,46750,45770,46710,1564600
2021-01-22,46710,47330,46660,46660,1094200
2021-01-25,46660,47020,46260,46570,827300
2021-01-26,46570,46660,44260,45110,1028600
2021-01-27,45110,45770,44220,44440,1488900
2021-01-28,41910,42660,41330,41330,1742900
2021-01-29,41110,44220,41110,44170,1692900
2021-02-01,44170,45770,43910,44000,1340000
2021-02-02,44000,47060,44000,47060,1771200
2021-02-03,46660,47990,46660,47770,1698900
2021-02-04,47730,47770,45330,46660,1022400
2021-02-05,46660,47770,46660,47770,922900
2021-02-08,47910,47910,44880,44880,3422500
2021-02-09,46220,47330,45110,47190,1758000
