Date,Open,High,Low,Close,Volume
2022-06-13,54490,54490,52750,52890,2379700
2022-06-14,52190,53770,52110,52650,1393200
2022-06-15,52650,52980,51380,51380,2680600
2022-06-16,51860,54400,51770,54170,2215500
2022-06-17,53300,54650,51940,53130,2502800
2022-06-20,52890,55530,52890,54960,2588200
2022-06-21,55120,58790,54820,58710,4839300
2022-06-22,58250,58470,56230,56230,2214000
2022-06-23,56230,57350,55750,56320,1103100
2022-06-24,56550,58080,56470,56970,1684400
2022-06-27,57190,57440,55990,56640,1804300
2022-06-28,56230,57910,55850,56410,3037200
2022-06-29,56230,57910,56230,57600,1941000
2022-06-30,57600,59580,57510,57510,3582600
2022-07-01,57600,58870,57350,58710,2859000
2022-07-04,58950,60390,58790,59820,3139300
2022-07-05,59990,60060,58150,58250,2590800
2022-07-06,58510,58940,57270,58290,2360100
2022-07-07,58290,60170,57700,60170,3049600
2022-07-08,60170,60420,59770,60170,1704200
2022-07-11,59520,61580,59360,60170,2556900
2022-07-12,60170,60900,59830,60420,976100
2022-07-13,60330,60670,59670,59770,1423500
2022-07-14,59580,60330,59520,59670,982300
2022-07-15,59670,60170,59020,59020,1475000
2022-07-18,59360,59520,58940,59100,1106700
2022-07-19,59360,60080,59020,60000,1530100
2022-07-20,60330,60670,60000,60170,1167800
2022-07-21,59770,60670,59520,60330,1720500
2022-07-22,60330,60330,59360,59360,712300
2022-07-25,59360,60080,59180,60080,1242600
2022-07-26,60080,60170,59180,59360,1154000
2022-07-27,59360,59830,59180,59520,789500
2022-07-28,59770,60000,59580,59830,1219400
2022-07-29,59910,60670,59670,60000,2582800
2022-08-01,60000,60590,59520,60590,2527600
2022-08-02,60510,61160,59910,60170,2031400
2022-08-03,60000,60590,59770,60510,3134700
2022-08-04,60510,60510,60000,60420,1720600
2022-08-05,60420,60510,59830,59830,2135400
2022-08-08,59770,59770,59430,59520,2795800
2022-08-09,59520,59670,59360,59360,2129800
2022-08-10,59360,59830,59360,59770,1544800
2022-08-11,59830,59830,58290,58590,3884600
2022-08-12,58510,59270,58510,59270,1796100
2022-08-15,59360,59360,58760,58940,2525800
2022-08-16,59180,59670,59100,59180,1688300
2022-08-17,59180,59830,59100,59830,1316400
2022-08-18,59830,60670,59830,60510,4230600
2022-08-19,60510,61400,60080,61080,5225600
2022-08-22,61080,61660,60740,60740,2071700
2022-08-23,60740,62560,60670,62480,4551200
2022-08-24,62480,64530,62480,64050,5443600
2022-08-25,64220,64530,63460,64220,2182100
2022-08-26,64120,64360,62800,63380,2463000
2022-08-29,62730,62900,62150,62220,3311500
2022-08-30,62220,62990,62220,62640,2234900
2022-08-31,62560,62990,62220,62220,1657100
2022-09-05,62220,64120,62220,63880,3169400
2022-09-06,63880,65120,63720,64120,2649000
2022-09-07,64120,64120,62400,62400,2916400
2022-09-08,62640,63060,61970,62400,1351100
2022-09-09,62560,63060,62220,62560,1188500
2022-09-12,62640,62800,62060,62060,1386100
2022-09-13,61970,62640,61970,62400,1556500
2022-09-14,61730,61830,60830,60990,2037900
2022-09-15,61080,61970,61080,61400,1207200
2022-09-16,61580,62640,61320,62640,2308600
2022-09-19,62310,62400,61730,61970,1418000
2022-09-20,62060,62800,62060,62480,1139700
2022-09-21,62400,63970,62310,63380,2477500
2022-09-22,63130,63550,62640,63380,1033500
2022-09-23,63460,63720,63060,63210,1398600
2022-09-26,62480,62800,60740,60990,3386000
2022-09-27,61400,61730,59580,59670,2415500
2022-09-28,59360,60170,58430,59180,2145700
2022-09-29,60080,60590,59520,59910,2033200
2022-09-30,59270,60420,59270,59580,2345100
2022-10-03,59270,59770,58510,58510,2039100
2022-10-04,59180,59180,57700,58430,1631300
2022-10-05,58510,59360,58510,59020,1493400
2022-10-06,58760,58850,57700,57700,1503000
2022-10-07,57120,58760,54830,57520,2685300
